"Período";"Valor Exp.";"% Exp. SP";"Valor Imp.";"% Imp. SP";"Saldo RMC";"Saldo SP"
"Fev/12";364,52;0,081;956,19;0,1564;-591,67;-1617,11
"Fev/13";355,01;0,0838;982,95;0,1735;-627,94;-1429,17
"Fev/14";351,79;0,0842;1028;0,163;-676,22;-2128,5
"Fev/15";276,88;0,0842;976,74;0,1664;-699,86;-2584,42
"Fev/16";262,57;0,0596;700,98;0,1794;-438,42;500,74
"Fev/17";306,19;0,0759;664,67;0,175;-358,48;235,84
"Fev/18";385,02;0,0828;883,45;0,182;-498,43;-207,05
"Fev/19";331,84;0,0828;914,37;0,1897;-582,53;-813,77
"Fev/20";290,9;0,0837;885,06;0,2081;-594,15;-774,81
"Fev/21";298,48;0,0814;1007,4;0,2089;-708,92;-1154,91
"Fev/22";389,6;0,0749;1276,68;0,2235;-887,09;-507,85
