"País";"Exp. 22";"Participação Exp. 22";"Var. 21/22"
"Aland, Ilhas";NA;NA;NA
"Albânia";0;0;NA
"Alemanha";25,96;0,0366;0,1546
"Andorra";0;0;NA
"Angola";3,02;0,0043;3,199
"Anguilla";0;0;NA
"Antígua e Barbuda";0,02;0;0,4648
"Arábia Saudita";0,14;2e-04;-0,8311
"Argélia";0,14;2e-04;2,4814
"Argentina";140,61;0,198;0,1516
"Armênia";NA;NA;NA
"Aruba";0;0;0,3504
"Austrália";2,68;0,0038;-0,0014
"Áustria";0,68;0,001;-0,2559
"Azerbaijão";0;0;-1
"Bahamas";0;0;-0,6192
"Barein";0,01;0;13,9178
"Bangladesh";0,37;5e-04;-0,1556
"Barbados";0,41;6e-04;-0,0794
"Belarus";0;0;-1
"Bélgica";37,36;0,0526;0,5294
"Belize";0,03;0;2,8194
"Bermudas";NA;NA;NA
"Mianmar";0;0;Inf
"Bolívia";10,41;0,0147;0,638
"Bósnia-Herzegovina";0;0;-1
"Botsuana";0;0;NA
"Brasil";0;0;NA
"Bulgária";0,13;2e-04;Inf
"Cabo Verde";0,02;0;-0,4431
"Cayman, Ilhas";NA;NA;NA
"Camboja";0;0;NA
"Camarões";0,12;2e-04;-0,7013
"Canadá";3,57;0,005;1,2626
"Cazaquistão";0,54;8e-04;Inf
"Catar";0,46;6e-04;0,2009
"Chile";48,19;0,0679;0,2496
"China";20,71;0,0292;0,0784
"Taiwan (Formosa)";0,51;7e-04;-0,4383
"Chipre";0,01;0;0,1479
"Colômbia";43,08;0,0607;0,9644
"Congo";0,4;6e-04;1,741
"Coreia do Sul";3,67;0,0052;0,6739
"Costa do Marfim";1,03;0,0014;3,7808
"Croácia";0;0;NA
"Costa Rica";3,57;0,005;-0,1434
"Coveite (Kuweit)";0,01;0;-0,8128
"Cuba";0,04;1e-04;-0,7557
"Curaçao";0,19;3e-04;-0,3665
"Benin";NA;NA;NA
"Dinamarca";0,47;7e-04;3,489
"Dominica";0;0;NA
"Equador";12,37;0,0174;0,2232
"Egito";0,9;0,0013;-0,2907
"Emirados Árabes Unidos";0,68;0,001;-0,5819
"Espanha";3,99;0,0056;0,5253
"Eslovênia";0,01;0;Inf
"Eslováquia";0,27;4e-04;-0,2277
"Estados Unidos";105,69;0,1488;0,2058
"Estônia";0,03;0;-0,279
"Etiópia";0,01;0;-0,6428
"Faroe, Ilhas";NA;NA;NA
"Filipinas";0,51;7e-04;0,8146
"Finlândia";1,58;0,0022;2,2999
"França";4,31;0,0061;-0,1116
"Gabão";0,16;2e-04;2,636
"Gâmbia";0;0;-1
"Gana";NA;NA;NA
"Geórgia";0;0;NA
"Granada";0,01;0;-0,3674
"Grécia";0,01;0;-0,9756
"Guadalupe";NA;NA;NA
"Guatemala";3,34;0,0047;0,0491
"Guiana Francesa";NA;NA;NA
"Guiné-Bissau";0,03;0;NA
"Guiana";0,12;2e-04;1,4337
"Haiti";0,05;1e-04;2,8264
"Honduras";3,69;0,0052;0,9481
"Hong Kong";0,81;0,0011;0,1577
"Hungria";0,25;4e-04;-0,6406
"Índia";6,45;0,0091;0,2581
"Indonésia";1,34;0,0019;-0,5201
"Iraque";0,24;3e-04;3,519
"Irã";0;0;NA
"Irlanda";0,09;1e-04;0,0115
"Islândia";0;0;NA
"Israel";0,87;0,0012;0,2329
"Itália";7,32;0,0103;-0,2881
"Jamaica";0,39;6e-04;0,0844
"Japão";1,4;0,002;-0,0677
"Jordânia";0,04;1e-04;0,0443
"Laos";0;0;NA
"Letônia";0;0;NA
"Líbano";0,03;0;-0,196
"Libéria";0,01;0;-0,8777
"Líbia";0,06;1e-04;0,2827
"Liechtenstein";0;0;NA
"Lituânia";0,09;1e-04;Inf
"Luxemburgo";4,02;0,0057;0,8718
"Macedônia";0,01;0;0,7568
"Madagascar";0;0;NA
"Malásia";4,2;0,0059;0,4879
"Mali";NA;NA;NA
"Malta";0;0;-0,7371
"Marrocos";0,2;3e-04;-0,7599
"Marshall, Ilhas";0;0;0,2252
"Maurício";0,04;1e-04;2,2941
"México";57,18;0,0805;0,1726
"Moldávia";0,02;0;0,9525
"Mônaco";0;0;NA
"Mongólia";0,03;0;-0,4988
"Moçambique";0,03;0;-0,7611
"Nepal";NA;NA;NA
"Nicarágua";0,72;0,001;5,5663
"Níger";0;0;NA
"Nigéria";0,81;0,0011;-0,3986
"Noruega";0;0;Inf
"Nova Zelândia";0,39;6e-04;5,5485
"Omã";0,22;3e-04;-0,2559
"Pacífico, Ilhas do (EUA)";NA;NA;NA
"Países Baixos (Holanda)";11,21;0,0158;0,063
"Paquistão";0,53;8e-04;0,1961
"Panamá";3,54;0,005;1,9089
"Paraguai";23,65;0,0333;0,3117
"Peru";24,28;0,0342;0,0248
"Polinésia Francesa";0,01;0;0,5136
"Polônia";0,86;0,0012;0,7971
"Portugal";1,39;0,002;0,385
"Porto Rico";4,44;0,0063;0,1118
"Quênia";0,5;7e-04;-0,3542
"Reino Unido";3,81;0,0054;0,5959
"República Centro-Africana";0;0;NA
"República Dominicana";2,29;0,0032;1,4588
"Reunião";0,01;0;0,7086
"Zimbábue";0,01;0;-0,856
"Romênia";0,03;0;27,747
"Rússia";11,96;0,0168;1,5847
"El Salvador";1,62;0,0023;2,7111
"São Cristóvão e Névis";0,01;0;0,6434
"San Marino";0;0;NA
"São Martinho, Ilha de (parte francesa)";0,01;0;-0,6193
"Sint Maarten";0,01;0;NA
"São Tomé e Príncipe";NA;NA;NA
"Senegal";NA;NA;NA
"Serra Leoa";0;0;-1
"Sérvia";0,05;1e-04;-0,848
"Cingapura";6,24;0,0088;1,0761
"Síria";NA;NA;NA
