"País";"Imp. 22";"Participação Imp. 22";"Var. 21/22"
"Aland, Ilhas";NA;NA;NA
"Albânia";0;0;NA
"Alemanha";141,54;0,057;0,04
"Andorra";0;0;-0,802
"Angola";0;0;Inf
"Anguilla";0,01;0;2,5215
"Antígua e Barbuda";0;0;NA
"Arábia Saudita";7,06;0,0028;0,4101
"Argélia";0;0;NA
"Argentina";26,71;0,0108;0,259
"Armênia";NA;NA;NA
"Aruba";0;0;NA
"Austrália";1,79;7e-04;-0,5132
"Áustria";9,7;0,0039;0,1073
"Azerbaijão";0,15;1e-04;0,4967
"Bahamas";0;0;-1
"Barein";0,33;1e-04;Inf
"Bangladesh";0;0;Inf
"Barbados";0;0;NA
"Belarus";0,22;1e-04;-0,8951
"Bélgica";35,91;0,0145;0,6855
"Belize";0;0;NA
"Bermudas";NA;NA;NA
"Mianmar";0;0;0,4813
"Bolívia";0,34;1e-04;1,6844
"Bósnia-Herzegovina";0,21;1e-04;0,575
"Botsuana";0;0;-0,034
"Brasil";2,62;0,0011;1,8846
"Bulgária";1,94;8e-04;1,3833
"Cabo Verde";0;0;NA
"Cayman, Ilhas";NA;NA;NA
"Camboja";0,08;0;-0,0925
"Camarões";0;0;-1
"Canadá";12,42;0,005;1,4928
"Cazaquistão";0;0;-1
"Catar";2,65;0,0011;379250,7143
"Chile";4,26;0,0017;1,2155
"China";786,76;0,3171;0,5881
"Taiwan (Formosa)";65,45;0,0264;0,1431
"Chipre";0,03;0;2,2101
"Colômbia";23,42;0,0094;-0,0508
"Congo";0;0;NA
"Coreia do Sul";115,69;0,0466;0,1825
"Costa do Marfim";0,81;3e-04;4,8707
"Croácia";0,21;1e-04;-0,0239
"Costa Rica";0,78;3e-04;3,6043
"Coveite (Kuweit)";0;0;NA
"Cuba";0;0;NA
"Curaçao";0;0;NA
"Benin";NA;NA;NA
"Dinamarca";15,62;0,0063;0,9174
"Dominica";0;0;NA
"Equador";0,04;0;-0,7887
"Egito";0,41;2e-04;-0,7334
"Emirados Árabes Unidos";0,04;0;-0,9547
"Espanha";27,32;0,011;0,2071
"Eslovênia";1,53;6e-04;-0,6374
"Eslováquia";1,05;4e-04;-0,0484
"Estados Unidos";322,98;0,1302;0,0679
"Estônia";0,21;1e-04;0,3118
"Etiópia";0;0;NA
"Faroe, Ilhas";NA;NA;NA
"Filipinas";6,21;0,0025;-0,3458
"Finlândia";5,77;0,0023;1,3533
"França";43,85;0,0177;-0,163
"Gabão";0;0;NA
"Gâmbia";0;0;Inf
"Gana";NA;NA;NA
"Geórgia";0;0;-0,5929
"Granada";0;0;-1
"Grécia";0,07;0;-0,0395
"Guadalupe";NA;NA;NA
"Guatemala";0,75;3e-04;1,6989
"Guiana Francesa";NA;NA;NA
"Guiné-Bissau";0;0;NA
"Guiana";0;0;NA
"Haiti";0;0;NA
"Honduras";0;0;-0,8763
"Hong Kong";14,42;0,0058;0,8694
"Hungria";9,11;0,0037;-0,1263
"Índia";146,35;0,059;-0,0177
"Indonésia";25,42;0,0102;-0,0864
"Iraque";0;0;NA
"Irã";0,08;0;NA
"Irlanda";3,46;0,0014;1,3275
"Islândia";0;0;NA
"Israel";12,68;0,0051;-0,0119
"Itália";39,62;0,016;0,0585
"Jamaica";0;0;NA
"Japão";115,15;0,0464;0,1322
"Jordânia";0,57;2e-04;Inf
"Laos";0;0;2,25
"Letônia";0,36;1e-04;0,7575
"Líbano";0;0;Inf
"Libéria";0;0;NA
"Líbia";0;0;NA
"Liechtenstein";0,01;0;-0,686
"Lituânia";0,66;3e-04;0,0941
"Luxemburgo";1,65;7e-04;0,2093
"Macedônia";0,18;1e-04;61,2852
"Madagascar";0,58;2e-04;0,0435
"Malásia";21,5;0,0087;0,2475
"Mali";NA;NA;NA
"Malta";0,54;2e-04;0,1329
"Marrocos";0,36;1e-04;-0,909
"Marshall, Ilhas";0;0;NA
"Maurício";0,05;0;-0,5545
"México";48,17;0,0194;-0,0653
"Moldávia";0;0;-1
"Mônaco";0;0;6,3826
"Mongólia";0;0;NA
"Moçambique";0;0;NA
"Nepal";NA;NA;NA
"Nicarágua";0;0;NA
"Níger";0,02;0;NA
"Nigéria";0;0;-1
"Noruega";10,53;0,0042;0,0554
"Nova Zelândia";0,54;2e-04;0,2359
"Omã";0;0;NA
"Pacífico, Ilhas do (EUA)";NA;NA;NA
"Países Baixos (Holanda)";16,33;0,0066;0,0496
"Paquistão";1,59;6e-04;1,3504
"Panamá";0;0;0,2277
"Paraguai";3,07;0,0012;2,4904
"Peru";3,09;0,0012;-0,1478
"Polinésia Francesa";0;0;NA
"Polônia";14,12;0,0057;0,0266
"Portugal";4,14;0,0017;0,075
"Porto Rico";6,25;0,0025;6,3684
"Quênia";0,16;1e-04;26,4852
"Reino Unido";20,84;0,0084;-0,3406
"República Centro-Africana";0,06;0;NA
"República Dominicana";0,01;0;-0,9373
"Reunião";0;0;Inf
"Zimbábue";0;0;-1
"Romênia";2,94;0,0012;-0,1138
"Rússia";23,28;0,0094;0,362
"El Salvador";0,02;0;-0,3208
"São Cristóvão e Névis";0;0;NA
"San Marino";0,01;0;NA
"São Martinho, Ilha de (parte francesa)";0;0;NA
"Sint Maarten";0;0;NA
"São Tomé e Príncipe";NA;NA;NA
"Senegal";NA;NA;NA
"Serra Leoa";0;0;56,2
"Sérvia";1,04;4e-04;2,6142
"Cingapura";14,95;0,006;-0,1007
"Síria";NA;NA;NA
"Sri Lanka";0,19;1e-04;0,3386
"África do Sul";1,46;6e-04;-0,8977
"Sudão";0;0;NA
"Suécia";9,97;0,004;-0,2582
"Suíça";49,77;0,0201;0,0219
"Suriname";0;0;NA
